text	help	slug
30‑minute deep work list	(one "frog to eat per day)	30minute-deep-work-list
Business ideas to explore	(person + pain + promise)	business-ideas-to-explore
Career goals for the next 5 years	(title + impact statement)	career-goals-for-the-next-5-years
Career narratives I can tell	(theme + 3 proof stories)	career-narratives-i-can-tell
Decision logs to start keeping	(date + decision + why)	decision-logs-to-start-keeping
Delegation candidates this week	(task + owner + guardrail)	delegation-candidates-this-week
Feedback requests to send	(one question + recipient)	feedback-requests-to-send
First 90 days plan	(outcomes, relationships, quick wins)	first-90-days-plan
Interview stories to polish	(STAR + metric)	interview-stories-to-polish
Networking opportunities to pursue	(who to meet + why now)	networking-opportunities-to-pursue
One thing to automate this week	(e.g., a weekly export)	one-thing-to-automate-this-week
People to mentor this quarter, or to mentor me	(e.g., new teammate)	people-to-mentor-this-quarter-or-to-mentor-me
Public artifacts to publish	(doc, demo, or post)	public-artifacts-to-publish
Reputation risks to avoid	(behavior + counter‑measure)	reputation-risks-to-avoid
Side projects to start	(scope to one weekend)	side-projects-to-start
Skills I could teach others	(e.g., lunch‑and‑learn)	skills-i-could-teach-others
Small experiments to improve meetings	(e.g., no‑laptop round)	small-experiments-to-improve-meetings
Systems to reduce meetings	(async template + office hours)	systems-to-reduce-meetings
Things I did well this year	(keep doing: what + why it worked)	things-i-did-well-this-year
Ways to add value to my team	(remove a bottleneck)	ways-to-add-value-to-my-team
Ways to improve my workspace	(one upgrade you’ll notice daily)	ways-to-improve-my-workspace
Ways to reduce unnecessary work	(e.g., delete a report)	ways-to-reduce-unnecessary-work
Weekly metrics to track	(leading indicators only)	weekly-metrics-to-track
Writing templates for recurring comms	(status, proposal, brief)	writing-templates-for-recurring-comms
